GEOID,GEO,NAME,DATE,POSITIVE,POS_NEW,NEGATIVE,NEG_NEW,DEATHS,DTH_NEW,TEST_NEW,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,OBJECTID
55021,County,Columbia,2020/10/27 19:00:00+00,1761,43,19246,65,5,0,108,88,1052,621,868,893,-999,53,189,317,262,273,317,173,118,44,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16,9,58,1478,113,87,137,1290,334,-999,-999,-999,5,-999,-999,-999,5,-999,72,607,1082,344919
55023,County,Crawford,2020/10/27 19:00:00+00,328,5,5116,33,0,0,38,25,194,109,175,153,-999,7,38,57,27,57,60,37,31,14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,307,-999,15,-999,305,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,14,95,219,344935
55025,County,Dane,2020/10/27 19:00:00+00,14560,255,237168,1230,48,0,1485,511,6524,7525,7304,7241,15,489,3249,4519,1979,1510,1390,830,368,175,51,17,31,-999,-999,-999,-999,-999,-999,-999,6,12,16,10,94,508,1030,10830,1776,322,1871,11610,1079,-999,-999,6,41,-999,-999,-999,47,-999,875,9115,4570,344962
55027,County,Dodge,2020/10/27 19:00:00+00,4051,106,28271,107,27,0,213,196,1221,2634,1714,2332,5,98,286,741,758,670,650,499,204,113,32,12,15,-999,-999,-999,-999,-999,-999,-999,7,-999,7,7,36,33,300,2775,333,574,469,2356,1226,-999,-999,-999,26,-999,-999,-999,23,-999,97,524,3430,345186
55029,County,Door,2020/10/27 19:00:00+00,780,25,9025,157,5,0,182,32,181,567,403,376,-999,28,69,132,94,105,135,111,72,27,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,5,672,22,75,59,627,94,-999,-999,-999,-999,-999,-999,-999,-999,-999,21,228,531,345229
55031,County,Douglas,2020/10/27 19:00:00+00,774,8,10097,134,1,0,142,28,630,116,362,412,-999,16,100,224,102,94,101,69,46,18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8,-999,20,598,11,133,19,578,177,-999,-999,-999,-999,-999,-999,-999,-999,-999,48,394,332,353392
55033,County,Dunn,2020/10/27 19:00:00+00,1039,22,11098,81,1,0,103,26,376,637,485,553,-999,12,220,441,96,88,94,55,23,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33,11,848,36,107,23,869,147,-999,-999,-999,-999,-999,-999,-999,-999,-999,39,588,412,353426
55035,County,Eau Claire,2020/10/27 19:00:00+00,3442,122,29473,448,12,0,570,121,2745,576,1762,1677,-999,116,562,1291,391,316,309,262,120,61,14,-999,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,107,60,2979,111,173,104,3095,243,-999,-999,-999,11,-999,-999,-999,12,-999,292,2684,466,353451
55037,County,Florence,2020/10/27 19:00:00+00,210,0,1135,7,6,-1,7,19,110,81,105,105,-999,5,-999,14,20,21,43,40,31,21,11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,157,-999,48,-999,144,66,-999,-999,-999,6,-999,-999,-999,5,-999,9,32,169,353492
55039,County,Fond du Lac,2020/10/27 19:00:00+00,4461,337,29072,187,20,1,524,228,3291,942,2315,2145,-999,146,434,801,644,621,793,604,285,112,21,8,12,-999,-999,-999,-999,-999,-999,-999,-999,6,5,-999,5,29,97,3722,145,463,455,3202,804,-999,-999,-999,19,-999,-999,-999,19,-999,285,2596,1580,353514
